name,genre,director,country,year_of_make,rating
1+1: Голливудская история,комедийная драма,Нил Бёргер,"(None,)",,7.0
1 Night in China,порнофильм,"Шон Уолтман,Чайна",США,,
2 секунды,комедия,Манон Брайан,"(None,)",1998,5.0
2 дня в Париже,"комедия,драма,мелодрама",Жюли Дельпи,"(None,)",2007,6.7
55 дней в Пекине,"драма,исторический,военный",Николас Рэй,США,1963,6.7
2 Girls 1 Cup,"порнофильм,[d]",[d],Бразилия,,6.4
,,,"(None,)",,7.8
2-Асса-2,драма,Сергей Соловьёв,"(None,)",2008,4.7
1+1,"комедийная драма,бадди-муви","Оливье Накаш,[2],Эрик Толедано,[2]","(None,)",,8.9
50 таблеток,Драма,Тео Эвгерино,"(None,)",2006,4.9
2+1,"драма,семейный,Музыка к фильму",Хьюго Желен,"(None,)",2016,
2:37,"драматический фильм,[1],[2]","[d],[1],[2],[…]",Австралия,,7.3
50 первых поцелуев,романтическая комедия,Питер Сигал,"(None,)",2004,6.8
01-99,,Амасий Мартиросян,"(None,)",1959,7.7
2:22,триллер,рус.,"(None,)",2017,5.7
51,"фантастика,фильм ужасов",Джейсон Коннери,"(None,)",2011,3.5
49 дней,"драма,приключения",Генрих Габай,"(None,)",,7.1
45-й калибр,драма,Гари Леннон,"(None,)",2006,4.9
45 лет,драма,Эндрю Хэйг,"(None,)",2015,7.1
42 / Номер 42,"драма,спортивный фильм",Брайан Хелгеленд,США,,7.5
42-я улица,"комедия,мюзикл,мелодрама","Ллойд Бэкон,Басби Беркли","(None,)",1933,7.3
40-я дверь,драма,Эльчин Мусаоглу,"(None,)",2009,7.8
44 минуты: Бойня в северном Голливуде,,,"(None,)",2003,6.3
38-я параллель,"драма,боевик,военный",Кан Джегю,"(None,)",2004,8.0
39-я бригада,,Карой Макк,"(None,)",1959,7.6
34-й скорый,Фильм-катастрофа,Андрей Малюков,"(None,)",,6.3
47 ронинов,"фэнтези,боевик,драма",,"(None,)",2013,6.2
31 июня,"музыкальный фильм,мюзикл,фэнтези",Леонид Квинихидзе,"(None,)",1978,7.3
32 декабря,"комедия,фантастика",Александр Муратов,"(None,)",2004,5.6
31-й километр,"ужасы,мистика",Ригоберто Кастаньеда,"(None,)",2006,6.4
40,"детектив,триллер",Александр Галибин,"(None,)",2007,6.2
1,документальный,Пол Краудер,"(None,)",2013,5.6
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,"комедийный,фильм ужасов",Крэйг Мосс,"(None,)",2012,2.6
30 дней ночи,"ужасы,драма,триллер",Дэвид Слейд,"(None,)",2007,6.6
30 свиданий,"комедия,мелодрама",Татьяна Капитан,"(None,)",2016,5.0
31,Фильм ужасов,Роб Зомби,"(None,)",2016,5.1
33,драма,,"(None,)",2015,6.9
30 Rock: A XXX Parody,порнофильм,,США,,
30 безумных желаний,независимый кинематограф,[d],США,,6.9
28 недель спустя,"постапокалиптический,фильм ужасов",Хуан Карлос Фреснадильо,"(None,)",2007,6.9
30 дней до рассвета,"фильм ужасов,комедия",Андерс Банке,"(None,)",2006,5.5
29 Километр,"драма,музыкальный фильм",Леонид Андронов,"(None,)",2012,8.7
29 пальм,"драма,роуд-муви",Брюно Дюмон,"(None,)",2003,5.1
